,title,puNumber,show_start_date,type,film_studio,production_country,director,producer,age_restriction,refundable_support,nonrefundable_support,budget,financing_source,ratings,genres,MyScore
7236,После свадьбы,121027019,2019-09-26T12:00:00.000Z, Художественный,"Инджениос Медиа, Джоэл Б.Майклз Продакшнз, Риверстоун Пикчерз, Рок Айланд Филмз",США,Барт Фрейндлих,"Джоэл Б.Майклз, Джулианна Мур, Сильвио Мураглиа, Гарри Нинкель, Барт Фрейндлих ",«16+» - для детей старше 16 лет,,,,,6.2,драма,7.2374706
1423,ОТДАТЬ КОНЦЫ,111003913,2013-09-05T12:00:00.000Z,Художественный,"ООО ""ТПО ""РОК""",Россия,Т.Игуменцева,"А.Учитель, К.Саксаганская",«16+» - для детей старше 16 лет,,,,,7.7,"триллер,драма,мелодрама",5.414668
1103,"Крепкий орешек. Хороший день, чтобы умереть",121001213,2013-02-05T12:00:00.000Z,Художественный,"Дан Интертейнмент, Ориго Филм Групп, ХХ век Фокс ",США,Энди Фикмен,"Стивен Дж.Идс, Том Карновски, Алекс Янг",«18+» - запрещено для детей,,,,,4.9,"боевик,триллер",7.1920524
1295,Пластик,121011314,2014-06-05T12:00:00.000Z,Художественный,Гетувей Филмз,Великобритания,Джулиан Джилби,"Джеймс Дэйли, Жак Уаниш, Жан-Доминик Чоачан",«16+» - для детей старше 16 лет,,,,,6.3,"боевик,драма,комедия",6.1232395
481,Выбор киллера,121015616,2016-06-07T12:00:00.000Z,Художественный,"Чуз Филмз, Севен Флор",США,Маркус Грейвз,Джесси Сколаро,«18+» - запрещено для детей,,,,,4.8,"ужасы,триллер,драма",5.8337135
1731,Хайтарма,131000413,2013-06-21T12:00:00.000Z,Художественный,Наша реклама,Украина,А.Сеитаблаев,Л.Ислямов,«12+» - для детей старше 12 лет,,,,,7.7,"драма,военный,история",6.677679
4584,Крокодил Данди в Лос-Анджелесе,221157310,2010-12-17T12:00:00.000Z,Художественный,"Сильвер Лайон Филмз, Бэнгэлоу Филмз, Парамаунт Пикчерз, Лэнс Хул/Пол Хоган в содружестве с Гаем Хэндзом, Вижнвью ЛТД.",США - Австралия,Саймон Уинсер,"Пол Хоган, Лэнс Хул",«12+» - для детей старше 12 лет,,,,,6.2,"боевик,комедия,криминал",6.72011
6937,НЕИЗВЕСТНЫЙ 1917-й,112004119,2019-06-01T12:00:00.000Z,Документальный,"ООО ""КИНОСТУДИЯ ""РОЗА""",Россия,Г.Евтушенко,Г.Евтушенко,«12+» - для детей старше 12 лет,,,,,,,6.6793413
3701,Дом напротив (2016),121032116,2016-11-29T12:00:00.000Z,Художественный,"Фортресс Фьючерз, Салт Компани Интернэшнл",США,Маркус Дэнстон,"Патрик Риззотти, Бретт Форбс",«18+» - запрещено для детей,,,,,5.6,"ужасы,триллер,криминал",6.659131
4996,Ночь страха,121015211,2011-09-01T12:00:00.000Z,Художественный,"Албукерк Студиос, Дримуоркс Студиос, Гаэта/Розенцвайг Филмз, Майкл Де Лука Продакшнз, Рилаэнс Биг Интертейнмент",США-Индия,Крэйг Гиллеспи,"Майкл Джей Гаэта, Майкл Де Лука, Элисон Р.Розенцвайг",«16+» - для детей старше 16 лет,,,,,6.5,"ужасы,триллер,комедия",6.2786474
3997,"Анимационный фильм ""Смешарики 7"", серия ""Слишком фигурное катание""",214006210,2010-05-18T12:00:00.000Z,Художественный,"ООО ""Смешарики""",Россия,Н.Мирзоян,И.Попов,«0+» - для любой зрительской аудитории,,,,,,,6.5472646
3610,Ёлки 5,111018016,2016-12-15T12:00:00.000Z,Художественный,"ООО ""ТаББаК""",Россия,"Т.Бекмамбетов, И.Джендубаев, А.Котт, А.Шавкеро, В.Перельман, М.Лихачева, Р.Непомнящий","Т.Бекмамбетов, И.Стромилова, М.Затуловская",«6+» - для детей старше 6 лет,0.0,150000000.0,215162287.0,Фонд кино,4.8,"семейный,комедия",5.340562
31,Охота на лис.,111013916,2016-09-13T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,В.Абдрашитов,,«12+» - для детей старше 12 лет,,,,,7.1,"драма,криминал",6.882522
982,"Пушки, телки и азарт",121003613,2013-02-21T12:00:00.000Z,Художественный,"Фрифол Филмз, Голливуд Скай Интертейнмент, Рилизми Продакшнз, Инкогнито Пикчерз ",США,Майкл Винник,Майкл Винник,«18+» - запрещено для детей,,,,,5.7,"триллер,криминал,комедия",6.471902
3511,Тайны подводного мира 3D.,126004716,2016-08-11T12:00:00.000Z,Документальный,"Аймакс Корпорэйшн, Уорнер Бразерс",США - Канада,Ховард Холл,Тони Майерс,«0+» - для любой зрительской аудитории,,,,,7.9,документальный,7.8411646
2656,Дом для русалок,121020516,2016-06-30T12:00:00.000Z,Художественный,"Корела Фильм, Всемирные Русские Студии",Эстония - Россия,Ёлкин Туйчиев,"Артур Веэбер, Наталья Лазарева, Лутфулла Назиров",«16+» - для детей старше 16 лет,,,,,5.1,драма,6.8714895
3240,Голова. Два уха,111003717,2017-05-18T12:00:00.000Z,Художественный,Суслин Виталий Игоревич,Россия,В.Суслин,,«16+» - для детей старше 16 лет,,,,,4.7,ужасы,5.6922092
1890,Машина времени в джакузи 2,121005015,2015-03-18T12:00:00.000Z,Художественный,"Парамаунт Пикчерз, Метро Голдвин Майер",США,Стив Пинк,Эндрю Панай,«18+» - запрещено для детей,,,,,4.5,"фантастика,комедия,детектив",6.1232414
353,Дело Артамоновых,111013315,2015-08-25T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,Г.Рошаль,,«12+» - для детей старше 12 лет,,,,,6.9,драма,6.0868406
6539,Отравленная жизнь,111024518,2018-12-21T12:00:00.000Z, Художественный,"ООО ""СИГМА"" по заказу ООО ""МАРС МЕДИА ЭНТЕРТЕЙНМЕНТ""",Россия,Ю.Попович,"Р.Дишдишян, ООО ""МАРС МЕДИА ЭНТЕРТЕЙНМЕНТ""",«12+» - для детей старше 12 лет,,,,,6.4,детектив,6.678609
1727,Джунгли (The Jungle),121015413,2013-06-27T12:00:00.000Z,Художественный,"Лайтнинг Интертейнмент, Мистериоз Лайт",Австралия,Эндрю Трауки,"Эннмари Белл, Эндрю Трауки",«16+» - для детей старше 16 лет,,,,,7.1,"фэнтези,драма,приключения",7.8572984
7434,Рождество на двоих,121036019,2019-12-05T12:00:00.000Z, Художественный,"Каламити Филмз, Перфект Ворлд Пикчерз, Фейго Интертейнмент, Юниверсал Пикчерз",Великобритания - США,Пол Фиг,Джесси Хендерсон,«16+» - для детей старше 16 лет,,,,,6.8,"фэнтези,драма,мелодрама",6.851364
133,Джиперс Криперс 2,221035315,2015-02-03T12:00:00.000Z,Художественный,"Мириад Пикчерз, Юнайтед Артистс Корпорейшн, Американ Зоутроуп, Кэпитал Филмз",США,Виктор Сальва,"Кирк Д'Амико, Фрэнсис Форд Коппола, Том Льюз, Бобби Рок, Лукас Фостер",«18+» - запрещено для детей,,,,,6.1,"ужасы,триллер",5.0758095
4807,"Там, где живут чудовища",221010011,2011-01-20T12:00:00.000Z,Художественный,"Уорнер Бразерс Пикчерз, Легендари Пикчерз, Вилладж Роадшоу Пикчерз",США-Германия,Спайк Джонз,"Том Хэнкс, Винсент Лэндэй",«0+» - для любой зрительской аудитории,,,,,6.9,"фэнтези,драма,приключения",6.3857374
6213,Патрик,121019818,2018-09-06T12:00:00.000Z, Художественный,"Бондлт, Фред Филмз, Неад Гиа Филмз, Метрол Техноледжи, Вэггинг Тэл Продакшнз",Великобритания,Мэнди Флетчер,"Пол де Воз, Ванесса Дэвис, Сью Латимер",«12+» - для детей старше 12 лет,,,,,6.5,комедия,5.6611423
7473,Ходячий замок,124010519,2019-12-19T12:00:00.000Z,Анимационный,"Студио Гибли, Буена Виста Хоум Интертейнмент, Дентсу Мьюзик анд Интертейнмент, Мицубиси, Ниппон Телевижн Нетуорк, Тохокушинша Филм Корпорейшн, Токума Шотен, Ди Райт",Япония,Хаяо Миядзаки,"Томохико Исии, Хаяо Миядзаки, Тосио Судзуки",«6+» - для детей старше 6 лет,,,,,8.3,"аниме,мультфильм,фэнтези",5.182745
1865,Вселенная Стивена Хокинга /По книге Джейн Хокинг/,121002415,2015-02-11T12:00:00.000Z,Художественный,Уоркинг Тайтл Филмз,Великобритания,Джеймс Марш,"Тим Беван, Лиза Брюс",«16+» - для детей старше 16 лет,,,,,7.9,"биография,мелодрама,драма",5.4969997
4031,Смерть въ пенснэ или Наш Чехов,111006010,2010-06-08T12:00:00.000Z,Художественный,"ООО ""Меркатор Медиа""",Россия,А.Чернакова,С.Николаев,«16+» - для детей старше 16 лет,,,,,4.6,"триллер,драма,комедия",4.9425497
488,Папаши 2,121014316,2016-05-30T12:00:00.000Z,Художественный,"Гомон, Каре Продюксьон, ТФ1",Франция,Мартин Валенте,Фабрис Гольдштейн,«16+» - для детей старше 16 лет,,,,,8.5,"драма,криминал",6.5673227
3475,Петербург. Только по любви,111009516,2016-06-01T12:00:00.000Z,Художественный,"ООО ""Продюсерский центр ""Ленфильм""",Россия,"А.Пармас, Н.Кудряшова, А.Гогленкова, Н.Назарова, О.Бычкова, А.Смирнова, Р.Литвинова","Э.Пичугин, С.Сельянов, Н.Дрозд, Н.Смирнова",«16+» - для детей старше 16 лет,0.0,30000000.0,57874375.0,Министерство культуры,6.2,"комедия,мелодрама",6.4448514
7170,Сорокин Трип,112004519,2019-09-03T12:00:00.000Z,Документальный,ИП Голодова Н.В.,Россия,И.Белов,"Н.Голодова, А.Желноваков (псевдоним - Антон Желнов)",«16+» - для детей старше 16 лет,,,,,7.2,"документальный,биография",7.134331
6960,Рокетмен,121014319,2019-05-30T12:00:00.000Z, Художественный,"Маав Филмз, Маав Стюдиос, Нью Паблик Пикчерз, Парамаунт Пикчерз, Пикселоид Стюдиос, Рокет Пикчерз",Великобритания - США,Декстер Флетчер,"Адам Болинг, Дэвид Рейд, Дэвид Ферниш",«18+» - запрещено для детей,,,,,7.1,"биография,музыка,мюзикл",5.767747
582,Пазл любви,121006212,2012-03-07T12:00:00.000Z,Художественный,"Канал + Спэйн, Эскандало Филмз, Телевижио де Каталониа, Эколь Суперьор де Синема и Аудивизуэль де Каталониа",Испания,"Габи Амионе, Пау Балаге, Джозеко де Линарес, Эдуард Риу, Ирен С.Родригез",Сержи Касамитьяна,«18+» - запрещено для детей,,,,,6.7,"драма,мелодрама,комедия",6.885148
244,Леденец,221011315,2015-04-03T12:00:00.000Z,Художественный,"Лайонс Гейт Филмз, Валкэн Продакшн, Лаунчпэд Продакшнз, Айс Пэк Пикчерз",США,Дэвид Слейд,"Михаэль Калдуэлл, Джоди Паттон, Дэвид Хаггинс, Ричард Хьюттон",«18+» - запрещено для детей,,,,,6.9,"триллер,драма",6.26845
6085,"Пчелография, серии № 12-14",114003918,2018-08-10T12:00:00.000Z,Анимационный,Хисматуллин Раиль Габдулхакович,Россия,С.Курченко,Р.Хисматуллин,«6+» - для детей старше 6 лет,,,,,,,5.261885
4256,Шевели ластами 3D,124000910,2010-07-29T12:00:00.000Z,Анимационный,"Нью Вейв Пикчерз, Иллюмината Пикчерз, Моушн Инвесмент Групп",США-Бельгия,Бен Стассен,"Джина Галло, Мими Майнард, Доминик Парис",«0+» - для любой зрительской аудитории,,,,,6.7,"мультфильм,приключения,семейный",6.419428
4462,"Фантастическая четверка /По собранию комиксов ""Марвел"", созданных Стэном Ли и Джеком Керби/",221009310,2010-02-19T12:00:00.000Z,Художественный,"ХХ век Фокс, Марвел Энтерпрайзез, 1492 Пикчерз, Константин Филм Продакшн",США - Германия,Тим Стори,"Эрви Арад, Майкл Барнатан, Крис Коламбус, Ральф Уинтер, Бернд Эйхингер",«12+» - для детей старше 12 лет,,,,,6.7,"фантастика,фэнтези,боевик",7.379756
3623,Любовь не за горами,111016216,2016-09-27T12:00:00.000Z,Художественный,Индивидуальный предприниматель Матуев Зубер Анатольевич,Россия,М.Кумыков,"Н.Рагозина, А.Апшев",«12+» - для детей старше 12 лет,,,,,7.5,"драма,мелодрама",6.164051
4673,Обещать - не значит жениться,221162610,2010-12-17T12:00:00.000Z,Художественный,"Уорнер Бразерс, Флауэр Филмз, Интернэшнл Филмпродукцион Блэксвэн, Сессион Пэйрой Менджемент",США - Германия - Нидерланды,Кен Куопис,"Дрю Бэрримор, Майкл Бегг",«16+» - для детей старше 16 лет,,,,,7.1,"драма,мелодрама,комедия",6.356296
976,Гарегин Нжде,131000213,2013-04-23T12:00:00.000Z,Художественный,"Эй Джи Кей Продакшнз, Пан Армениан Медиа Групп",Армения,Грач Кешишян,Грач Кешишян,«12+» - для детей старше 12 лет,,,,,7.9,биография,6.0514216
5981,Убийца 2. Против всех,121013318,2018-06-28T12:00:00.000Z, Художественный,"Блэк Лейбл Медиа, Эр А И Синема, Сандер Роуд Пикчерз",США - Италия,Стефано Соллима,"Бэзил Иваник, Тэд Лакинбилл, Эрика Ли",«18+» - запрещено для детей,,,,,7.1,"боевик,триллер,драма",5.970174
5907,Подбросы,111006618,2018-06-07T12:00:00.000Z, Художественный,"ООО ""Компания ""Новые люди""",Россия,И.Твердовский,Н.Мокрицкая,«18+» - запрещено для детей,0.0,31000000.0,50000000.0,Министерство культуры,6.0,драма,5.0203547
5595,Серебристая пыль,111009117,2017-11-22T12:00:00.000Z, Художественный,"Киностудия ""Мосфильм""",СССР,А.Роом,,«12+» - для детей старше 12 лет,,,,,5.9,"фантастика,драма",7.205818
2988,Голограмма для короля,121009716,2016-04-25T12:00:00.000Z,Художественный,"Икс Филме Креатив Пул, 22Аш22, Фабрика де Сине, Касба-Филм Тенджер, Плейтон, Праймерилиан Интертейнмент",Великобритания - Франция - Германия - США,Том Тыквер,"Штефан Арндт, Аркадий Голубович, Гари Гоэцман",«18+» - запрещено для детей,,,,,6.4,"комедия,драма",7.2795453
3659,К черту на рога,121021616,2016-07-25T12:00:00.000Z,Художественный,"Медуза Фильм, Таодуе Фильм",Италия,Дженнаро Нунцианте,Пьетро Вальсекки,«16+» - для детей старше 16 лет,,,,,6.7,комедия,7.594393
221,Крейцерова соната,111015515,2015-08-25T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,"М.Швейцер, С.Милькина",,«12+» - для детей старше 12 лет,,,,,8.0,"драма,мелодрама",6.923915
5619,Трое вышли из леса,111010717,2017-11-22T12:00:00.000Z, Художественный,"Киностудия ""Мосфильм""",СССР,К.Воинов,,«12+» - для детей старше 12 лет,,,,,6.9,"драма,военный",6.142643
2534,Конец прекрасной эпохи,111009915,2015-06-01T12:00:00.000Z,Художественный,"ООО ""Киностудия ""ВЕРТИКАЛЬ""",Россия,С.Говорухин,"С.Говорухин, Е.Маскина",«16+» - для детей старше 16 лет,0.0,28000000.0,112000000.0,Министерство культуры,6.5,"драма,комедия",6.0380344
788,Барбара.,121015216,2016-06-01T12:00:00.000Z,Художественный,"Шрамм Фильм Кэрнер и Вебер, Ццай Дойче Фернштейн, Артэ",Германия,Кристиан Петцольд,"Микаэль Вебер, Флориан Корнер фон Густорф",«16+» - для детей старше 16 лет,,,,,6.7,драма,5.969083
97,Возвращение Василия Бортникова,111007315,2015-04-23T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,В.Пудовкин,,«12+» - для детей старше 12 лет,,,,,5.8,драма,6.0868406
6952,Агент 044: Операция Гегард,121013119,2019-05-30T12:00:00.000Z, Художественный,Ривиста,Республика Армения,Айк Кбеян,Тигран Амбарцумян,«12+» - для детей старше 12 лет,,,,,,,4.943034
1585,Планета обезьян: Революция,221053914,2014-11-05T12:00:00.000Z,Художественный,"Чемин Интертейнмент, ХХ век Фокс",США,Мэтт Ривз,"Рик Джаффа, Дилан Кларк, Питер Чернин",«16+» - для детей старше 16 лет,,,,,7.0,"фантастика,боевик,драма",7.406371
1033,Монстры на острове,124000413,2013-02-21T12:00:00.000Z,Анимационный,"Аби Шуи, Хакайдо Медиа Партнерс, Джи Дрим, Робот Коммьюникейшнз, Широгами, Шогокухан, Ти Ви Ассаи, Такара Томи, Тохо Компани, Йахо Япон",Япония - Канада,Такаши Ямадзаки,Генки Хавамура,«0+» - для любой зрительской аудитории,,,,,7.1,"мультфильм,фэнтези,приключения",6.216174
1465,Под маской жиголо,121006014,2014-04-03T12:00:00.000Z,Художественный,Энтидоут Филмс,США,Джон Туртурро,"Билл Блок, Пол Хэнсон, Джеффри Леви-Хинте",«16+» - для детей старше 16 лет,,,,,6.6,комедия,5.9500027
3791,Белка и Стрелка. Звездные собаки,114000310,2010-01-29T12:00:00.000Z,Анимационный,"ОАО ""ЦНФ""",Россия,"С.Ушаков, И.Евланникова",С.А.Зернов,«0+» - для любой зрительской аудитории,,,,,6.0,"мультфильм,комедия,приключения",6.4997587
3076,Бабоньки,111020115,2015-12-07T12:00:00.000Z,Художественный,"ООО ""Медиа 77""",Россия,А.Коваленко,Р.Мусаев,«16+» - для детей старше 16 лет,0.0,24000000.0,38000000.0,Министерство культуры,5.3,комедия,7.4103403
3647,Её звали Муму,111010116,2016-06-15T12:00:00.000Z,Художественный,"ООО ""Фабула Филмс""",Россия,В.Мирзоев,С.Богданов,«18+» - запрещено для детей,,,,,5.4,драма,7.066373
5398,Дюнкерк,121012917,2017-07-20T12:00:00.000Z, Художественный,"Синкопи, Уорнер Бразерс, Домби Стрит Продакшнз, Каап Холланд Филм, Канал +, Сине +, РэтПэк Дан Интертейнмент, Атлас Интертейнмент",Великобритания - Нидерланды - Франция - США,Кристофер Нолан,Кристофер Нолан,«16+» - для детей старше 16 лет,,,,,7.3,"военный,драма,история",6.24738
